time,temperature
1733310000,22.2
1733313600,22.1
1733317200,21.9
1733320800,21.6
1733324400,21.5
1733328000,21.4
1733331600,21.7
1733335200,21.3
1733338800,21.4
1733342400,21.1
1733346000,20.9
1733349600,21.1
1733353200,21.5
1733356800,23.3
1733360400,24.3
1733364000,25.5
1733367600,26.8
1733371200,26.7
1733374800,26.6
1733378400,26.4
1733382000,26.2
1733385600,25.2
1733389200,24.8
1733392800,23.2
1733396400,22.9
1733400000,22.8
1733403600,23.3
1733407200,22.7
1733410800,22.7
1733414400,22.4
1733418000,22.5
1733421600,22.2
1733425200,22.2
1733428800,22.6
1733432400,22.5
1733436000,21.8
1733439600,22.1
1733443200,22.2
1733446800,23.4
1733450400,25.2
1733454000,26.7
1733457600,26.9
1733461200,26.0
1733464800,26.2
1733468400,24.0
1733472000,23.8
1733475600,23.7
1733479200,23.6
1733482800,22.7
1733486400,22.5
1733490000,23.0
1733493600,22.9
1733497200,23.0
1733500800,22.8
1733504400,22.2
1733508000,22.3
1733511600,21.8
1733515200,21.2
1733518800,21.1
1733522400,20.6
1733526000,20.6
1733529600,22.7
1733533200,25.1
1733536800,26.3
1733540400,27.5
1733544000,28.1
1733547600,27.0
1733551200,25.8
1733554800,26.3
1733558400,25.2
1733562000,25.7
1733565600,25.2
1733569200,24.0
1733572800,23.5
1733576400,24.0
1733580000,23.7
1733583600,22.9
1733587200,22.4
1733590800,21.3
1733594400,21.0
1733598000,20.7
1733601600,20.6
1733605200,20.9
1733608800,21.0
1733612400,21.5
1733616000,23.7
1733619600,25.4
1733623200,26.7
1733626800,25.5
1733630400,27.2
1733634000,26.7
1733637600,26.8
1733641200,27.1
1733644800,26.9
1733648400,26.6
1733652000,25.7
1733655600,24.3
1733659200,23.4
1733662800,24.0
1733666400,23.5
1733670000,23.0
1733673600,22.4
1733677200,21.6
1733680800,21.6
1733684400,21.1
1733688000,21.2
1733691600,21.2
1733695200,21.2
1733698800,21.5
1733702400,23.1
1733706000,23.4
1733709600,24.1
1733713200,25.1
1733716800,27.2
1733720400,26.2
1733724000,25.2
1733727600,25.2
1733731200,25.3
1733734800,25.4
1733738400,24.4
1733742000,23.9
1733745600,23.0
1733749200,22.4
1733752800,22.7
1733756400,22.4
1733760000,22.1
1733763600,21.2
1733767200,20.7
1733770800,20.5
1733774400,20.5
1733778000,20.9
1733781600,20.9
1733785200,21.4
1733788800,23.6
1733792400,25.2
1733796000,25.8
1733799600,27.1
1733803200,26.5
1733806800,26.6
1733810400,28.5
1733814000,27.4
1733817600,26.5
1733821200,25.3
1733824800,24.6
1733828400,23.6
1733832000,23.6
1733835600,23.8
1733839200,22.8
1733842800,22.4
1733846400,22.2
1733850000,21.9
1733853600,21.7
1733857200,21.6
1733860800,21.4
1733864400,21.3
1733868000,21.4
1733871600,21.7
1733875200,23.5
1733878800,25.5
1733882400,26.8
1733886000,27.0
1733889600,28.4
1733893200,26.3
1733896800,27.4
1733900400,25.8
1733904000,25.4
1733907600,24.2
1733911200,23.3
1733914800,22.8
1733918400,22.7
1733922000,23.7
1733925600,23.5
1733929200,22.8
1733932800,22.9
1733936400,22.7
1733940000,22.0
1733943600,22.2
1733947200,22.0
1733950800,21.2
1733954400,21.1
1733958000,21.7
1733961600,23.8
1733965200,24.6
1733968800,26.3
1733972400,28.2
1733976000,29.5
1733979600,29.6
1733983200,29.5
1733986800,28.8
1733990400,27.8
1733994000,27.2
1733997600,26.2
1734001200,25.3
1734004800,24.7
1734008400,25.1
1734012000,24.5
1734015600,23.8
1734019200,23.4
1734022800,23.3
1734026400,23.1
1734030000,22.9
1734033600,22.6
1734037200,22.1
1734040800,21.9
1734044400,22.9
1734048000,24.1
1734051600,25.1
1734055200,26.2
1734058800,27.2
1734062400,28.1
1734066000,28.9
1734069600,29.2
1734073200,29.3
1734076800,27.0
1734080400,25.7
1734084000,25.5
1734087600,23.8
1734091200,23.5
1734094800,23.3
1734098400,23.1
1734102000,23.0
1734105600,23.2
1734109200,23.2
1734112800,22.5
1734116400,22.6
1734120000,22.2
1734123600,21.6
1734127200,21.9
1734130800,22.5
1734134400,23.3
1734138000,24.8
1734141600,25.3
1734145200,25.6
1734148800,25.1
1734152400,24.6
1734156000,26.3
1734159600,27.1
1734163200,27.2
1734166800,25.8
1734170400,24.7
1734174000,23.6
1734177600,23.2
1734181200,22.3
1734184800,22.0
1734188400,21.9
1734192000,21.6
1734195600,21.8
1734199200,21.4
1734202800,21.2
1734206400,21.2
