,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3183953285217285,0.010240946492409789,0.005872917175292969,0.0010650255910739943,0.1,0.1,3,1000,0.0,0.0,0.1,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.1}",-0.4276992374026606,-0.36258204870737337,-0.35489003816244247,-0.685388083773402,-0.2679628442563423,-0.4197044504604442,0.1422259480584334,7364
1,0.32018494606018066,0.01048045980508092,0.005443000793457031,0.0008051189697298855,0.1,0.1,3,1000,0.0,0.0,0.3,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.3}",-0.4457226369797326,-0.4296641485908427,-0.3422959186074016,-0.7093590381288609,-0.26826720115055086,-0.4390617886914777,0.14948425357822728,8357
2,0.31902337074279785,0.011340659841431828,0.0051024436950683595,0.001107602329236394,0.1,0.1,3,1000,0.0,0.0,0.5,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.5}",-0.4481779314504807,-0.41165144904396034,-0.33569548050785597,-0.6822944690933276,-0.27031277207751897,-0.42962642043462873,0.1405078367912915,7866
3,0.2656534671783447,0.008662573394863256,0.005427837371826172,0.0007930451794878663,0.1,0.1,3,1000,0.0,0.0,1.0,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 1.0}",-0.44466400406586754,-0.4261720551784901,-0.33872344574333824,-0.735321657810722,-0.2628357611499433,-0.4415433847896722,0.16066116167285974,8528
4,0.2925421714782715,0.010730777785598387,0.004551839828491211,0.000844790572297873,0.1,0.1,3,1000,0.0,0.1,0.1,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.1}",-0.4284099152362211,-0.3735000189479475,-0.34923042684904654,-0.6802745877436721,-0.2637498600341676,-0.419032961762211,0.14099191384317314,7339
5,0.2975930213928223,0.011388668099056372,0.0056190013885498045,0.0008079338397933351,0.1,0.1,3,1000,0.0,0.1,0.3,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.3}",-0.4465973576055381,-0.4250992948110525,-0.3441611753711445,-0.7166367515476499,-0.2684210808517564,-0.4401831320374283,0.1519326736189052,8426
6,0.30042085647583006,0.013224879072660572,0.004954481124877929,0.0008434684544745882,0.1,0.1,3,1000,0.0,0.1,0.5,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 0.5}",-0.447950240063017,-0.40926033213420115,-0.3374502496879961,-0.6721414896259372,-0.26913072956115003,-0.4271866082144603,0.13695959150597584,7700
7,0.2633965969085693,0.009586385293882244,0.005425262451171875,0.0005133930413935708,0.1,0.1,3,1000,0.0,0.1,1.0,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.1, 'subsample': 1.0}",-0.4450804015979928,-0.4218850862791491,-0.3375840203423713,-0.7482769027053907,-0.2626301388605139,-0.44309130995708357,0.16570451343566853,8605
8,0.2931049346923828,0.011423794615788513,0.005436849594116211,0.0008091624703337352,0.1,0.1,3,1000,0.0,0.5,0.1,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.1}",-0.42890290502685857,-0.35960659385634824,-0.34722483042322133,-0.672889714124321,-0.26645015280808715,-0.41501483924776733,0.1388735788221725,7195
9,0.2960867404937744,0.012026949351031052,0.005267095565795898,0.0004116142314517611,0.1,0.1,3,1000,0.0,0.5,0.3,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.3}",-0.44516068502995493,-0.42481406298171087,-0.3433861209424271,-0.7019819811107973,-0.27018128918884793,-0.43710482785074767,0.14630278865358923,8238
10,0.3067739486694336,0.014028715544524083,0.00552821159362793,0.0007729799047102281,0.1,0.1,3,1000,0.0,0.5,0.5,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.5}",-0.44598682266789763,-0.40841371801178683,-0.3362283371687445,-0.6677663378677414,-0.26861580817928893,-0.42540220477909185,0.13563676567024305,7600
