DateTime,Wh,temperature,hour,day_of_week,day_of_month,is_weekend,lag_1,lag_24,lag_168
2021-10-11 08:00:00+00:00,279.54701414166664,28.171501,8,0,11,0,391.53660786666666,99.67962586666668,116.9945021
2021-10-11 09:00:00+00:00,261.6588180416667,28.6215,9,0,11,0,279.54701414166664,107.30115478333332,247.8091996
2021-10-11 10:00:00+00:00,183.61665761666663,28.671501,10,0,11,0,261.6588180416667,90.8246714,171.8725931
2021-10-11 11:00:00+00:00,141.34272968333332,28.7215,11,0,11,0,183.61665761666663,88.99264251666666,145.19459963333333
2021-10-11 12:00:00+00:00,120.75671311666666,28.4715,12,0,11,0,141.34272968333332,87.05280873333334,134.44875396666666
2021-10-11 13:00:00+00:00,118.99359258333334,28.2215,13,0,11,0,120.75671311666666,99.28693358333334,125.99916801666669
2021-10-11 14:00:00+00:00,116.8932095,27.271502,14,0,11,0,118.99359258333334,91.657987,114.27129545
2021-10-11 15:00:00+00:00,125.40580693333334,27.421501,15,0,11,0,116.8932095,91.34919465,114.17578428333331
2021-10-11 16:00:00+00:00,115.87074406666666,27.0715,16,0,11,0,125.40580693333334,91.23441038333333,116.96327966666666
2021-10-11 17:00:00+00:00,112.21533835,26.5715,17,0,11,0,115.87074406666666,94.50584885,118.63513995
2021-10-11 18:00:00+00:00,111.95859813333334,26.7215,18,0,11,0,112.21533835,88.44691465,115.50221933333331
2021-10-11 19:00:00+00:00,111.9346431,26.671501,19,0,11,0,111.95859813333334,86.49466396666666,106.48809791666666
2021-10-11 20:00:00+00:00,118.38135135,26.521502,20,0,11,0,111.9346431,88.2125034,107.38671905
2021-10-11 21:00:00+00:00,127.09950353333332,26.671501,21,0,11,0,118.38135135,96.14682263333331,107.77773625
2021-10-11 22:00:00+00:00,137.37251634999998,26.421501,22,0,11,0,127.09950353333332,114.74991785,131.65503271666665
2021-10-11 23:00:00+00:00,248.08380135,26.5715,23,0,11,0,137.37251634999998,240.086557,219.41333255
2021-10-12 00:00:00+00:00,322.4185053833333,27.521502,0,1,12,0,248.08380135,312.1705341333333,329.1824559
2021-10-12 01:00:00+00:00,352.0896752,28.3215,1,1,12,0,322.4185053833333,329.98957905,342.0704846333333
2021-10-12 02:00:00+00:00,363.0717805666667,29.021502,2,1,12,0,352.0896752,255.53512125833333,326.9253017666667
2021-10-12 03:00:00+00:00,387.67673005,29.521502,3,1,12,0,363.0717805666667,306.175373,340.3188582
2021-10-12 04:00:00+00:00,363.08705085,29.271502,4,1,12,0,387.67673005,361.9305126333333,350.67820166666667
2021-10-12 05:00:00+00:00,337.37588309166665,28.271502,5,1,12,0,363.08705085,367.81272801666665,337.5565419833333
2021-10-12 06:00:00+00:00,388.84927285,28.3215,6,1,12,0,337.37588309166665,324.82244535,316.168699
2021-10-12 07:00:00+00:00,385.6657539166667,27.8715,7,1,12,0,388.84927285,391.53660786666666,304.35129301666666
2021-10-12 08:00:00+00:00,366.75778053333335,26.9715,8,1,12,0,385.6657539166667,279.54701414166664,299.9096479
2021-10-12 09:00:00+00:00,221.51278081666663,26.4715,9,1,12,0,366.75778053333335,261.6588180416667,222.18037916666665
2021-10-12 10:00:00+00:00,138.7855531,26.271502,10,1,12,0,221.51278081666663,183.61665761666663,150.5225977
2021-10-12 11:00:00+00:00,107.6022223,26.171501,11,1,12,0,138.7855531,141.34272968333332,129.39418343333332
2021-10-12 12:00:00+00:00,104.14126223333334,26.2215,12,1,12,0,107.6022223,120.75671311666666,128.795396
2021-10-12 13:00:00+00:00,86.01291406666667,26.3715,13,1,12,0,104.14126223333334,118.99359258333334,118.74817115
2021-10-12 14:00:00+00:00,92.97697178333333,26.271502,14,1,12,0,86.01291406666667,116.8932095,110.5544942
2021-10-12 15:00:00+00:00,86.32475321666666,26.1215,15,1,12,0,92.97697178333333,125.40580693333334,108.79417861666668
2021-10-12 16:00:00+00:00,82.8550824,26.021502,16,1,12,0,86.32475321666666,115.87074406666666,108.71012493333332
2021-10-12 17:00:00+00:00,81.51548851666666,25.8215,17,1,12,0,82.8550824,112.21533835,114.77764093333332
2021-10-12 18:00:00+00:00,86.90553606666667,25.4715,18,1,12,0,81.51548851666666,111.95859813333334,105.67046111666669
2021-10-12 19:00:00+00:00,81.1384825,26.0715,19,1,12,0,86.90553606666667,111.9346431,101.78083701666668
2021-10-12 20:00:00+00:00,88.31608508333333,25.521502,20,1,12,0,81.1384825,118.38135135,105.89176811666668
2021-10-12 21:00:00+00:00,101.39595178333332,25.6215,21,1,12,0,88.31608508333333,127.09950353333332,111.75213326666666
2021-10-12 22:00:00+00:00,119.77361941666666,25.421501,22,1,12,0,101.39595178333332,137.37251634999998,124.80500216666668
2021-10-12 23:00:00+00:00,220.4034477833333,26.421501,23,1,12,0,119.77361941666666,248.08380135,198.2836942
2021-10-13 00:00:00+00:00,307.80192676666667,26.771502,0,2,13,0,220.4034477833333,322.4185053833333,274.65991883333334
2021-10-13 01:00:00+00:00,111.83300296666668,27.421501,1,2,13,0,307.80192676666667,352.0896752,306.4169683
2021-10-13 02:00:00+00:00,351.57985455,27.671501,2,2,13,0,111.83300296666668,363.0717805666667,328.24193851666666
2021-10-13 03:00:00+00:00,421.8434623833333,28.3715,3,2,13,0,351.57985455,387.67673005,345.0414899
2021-10-13 04:00:00+00:00,439.66263461666665,28.2215,4,2,13,0,421.8434623833333,363.08705085,259.87282933333336
2021-10-13 05:00:00+00:00,294.2939037833333,27.3715,5,2,13,0,439.66263461666665,337.37588309166665,351.16320371666666
